SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JIOFIN,EQ,18-12-2024,337.1,336.0,337.0,323.55,325.0,324.6,327.93,"1,39,57,883","4,57,71,48,870.90","1,44,319","76,31,070",54.67
JIOFIN,EQ,19-12-2024,324.6,318.0,319.9,310.75,313.75,313.0,314.62,"2,14,90,551","6,76,14,09,566.50","2,79,000","1,31,63,277",61.25
JIOFIN,EQ,20-12-2024,313.0,314.75,314.75,302.8,305.4,304.3,308.06,"1,96,69,669","6,05,93,78,080.10","1,96,059","1,21,75,573",61.90
JIOFIN,EQ,23-12-2024,304.3,308.8,308.85,302.05,304.9,304.7,305.68,"1,12,99,664","3,45,40,48,070.90","1,35,738","57,10,598",50.54
JIOFIN,EQ,24-12-2024,304.7,304.7,307.0,303.6,304.95,304.7,305.22,"69,11,511","2,10,95,41,701.50","68,849","32,60,901",47.18
JIOFIN,EQ,26-12-2024,304.7,304.7,306.7,302.9,305.35,305.55,304.99,"81,89,884","2,49,78,70,507.30","80,345","47,38,531",57.86
JIOFIN,EQ,27-12-2024,305.55,305.95,307.35,304.5,305.25,304.95,305.83,"60,20,942","1,84,14,08,890.60","65,756","33,68,463",55.95
JIOFIN,EQ,30-12-2024,304.95,305.0,308.95,301.0,304.8,306.25,305.57,"4,56,42,158","13,94,67,06,710.20","1,69,902","3,28,03,507",71.87
JIOFIN,EQ,31-12-2024,306.25,303.85,303.85,296.25,298.9,298.7,298.76,"1,78,38,917","5,32,96,24,308.60","2,04,227","1,03,23,913",57.87
JIOFIN,EQ,01-01-2025,298.7,298.9,306.4,298.8,304.25,304.45,303.79,"89,48,678","2,71,85,52,323.10","85,145","29,91,034",33.42
JIOFIN,EQ,02-01-2025,304.45,306.0,307.0,303.35,304.55,304.7,304.68,"1,85,54,117","5,65,30,70,839.40","85,450","1,27,26,356",68.59
JIOFIN,EQ,03-01-2025,304.7,306.7,310.9,304.25,307.15,307.45,307.45,"2,52,88,548","7,77,50,33,609.15","1,12,188","1,49,63,715",59.17
JIOFIN,EQ,06-01-2025,307.45,307.7,308.45,295.25,296.35,296.7,300.14,"1,56,16,967","4,68,73,25,112.55","2,12,832","83,78,799",53.65
JIOFIN,EQ,07-01-2025,296.7,298.0,301.0,297.25,299.0,299.15,299.59,"83,05,881","2,48,83,38,522.95","87,318","46,20,548",55.63
JIOFIN,EQ,08-01-2025,299.15,300.5,300.85,296.25,298.35,298.6,298.48,"1,05,45,440","3,14,76,30,315.55","88,037","54,66,028",51.83
JIOFIN,EQ,09-01-2025,298.6,298.5,298.5,288.8,289.85,289.25,292.52,"1,50,72,307","4,40,89,51,295.10","1,40,322","87,03,136",57.74
JIOFIN,EQ,10-01-2025,289.25,290.0,290.95,280.0,280.9,280.55,284.28,"1,39,06,821","3,95,34,44,452.50","1,58,135","75,39,476",54.21
JIOFIN,EQ,13-01-2025,280.55,277.8,278.0,265.05,265.8,266.15,269.92,"2,28,70,943","6,17,33,94,097.50","2,49,112","1,17,27,040",51.27
JIOFIN,EQ,14-01-2025,266.15,267.45,274.0,264.2,273.75,272.85,269.19,"1,98,34,738","5,33,92,57,673.05","2,13,089","96,82,424",48.82
JIOFIN,EQ,15-01-2025,272.85,275.0,276.0,271.25,274.0,272.4,273.56,"1,29,32,861","3,53,79,40,504.90","1,00,879","70,83,883",54.77
JIOFIN,EQ,16-01-2025,272.4,277.0,278.8,274.85,276.45,276.8,276.74,"98,04,897","2,71,34,15,991.00","87,981","49,98,906",50.98
JIOFIN,EQ,17-01-2025,276.8,280.0,281.3,275.7,278.75,279.0,278.33,"1,28,95,002","3,58,90,53,616.80","1,14,817","55,41,750",42.98
JIOFIN,EQ,20-01-2025,279.0,279.0,280.0,271.15,275.8,275.7,274.84,"1,56,16,628","4,29,21,47,316.90","1,42,296","69,62,609",44.58
JIOFIN,EQ,21-01-2025,275.7,276.0,277.5,258.4,259.95,260.1,265.97,"2,52,89,898","6,72,63,85,788.20","2,40,994","1,29,91,062",51.37
JIOFIN,EQ,22-01-2025,260.1,261.7,263.6,254.05,263.3,262.8,259.45,"1,90,45,792","4,94,14,82,768.50","1,77,368","73,85,708",38.78
JIOFIN,EQ,23-01-2025,262.8,263.5,267.4,253.6,255.0,255.85,258.65,"2,68,48,859","6,94,44,20,937.55","1,96,853","1,16,10,245",43.24
JIOFIN,EQ,24-01-2025,255.85,256.0,257.35,243.55,243.9,244.45,248.05,"3,83,79,153","9,51,98,04,306.05","3,09,282","2,12,54,216",55.38
JIOFIN,EQ,27-01-2025,244.45,243.0,243.4,231.05,233.3,233.3,234.83,"3,29,24,181","7,73,17,37,190.05","3,22,039","1,64,62,158",50.00
JIOFIN,EQ,28-01-2025,233.3,237.0,238.5,231.3,234.5,233.4,234.28,"3,24,39,612","7,59,98,05,177.25","1,95,354","1,62,82,475",50.19
JIOFIN,EQ,29-01-2025,233.4,235.0,240.65,233.0,240.1,238.3,236.3,"2,37,19,434","5,60,49,62,332.95","1,69,986","1,18,08,659",49.78
JIOFIN,EQ,30-01-2025,238.3,240.65,242.25,233.5,235.9,234.8,237.73,"2,75,03,919","6,53,84,93,948.15","1,98,573","1,44,35,653",52.49
JIOFIN,EQ,31-01-2025,234.8,237.0,243.75,235.8,243.25,241.65,240.82,"3,11,30,589","7,49,70,06,624.10","1,80,285","1,71,22,451",55.00
JIOFIN,EQ,01-02-2025,241.65,244.4,245.55,239.25,241.5,241.51,242.53,"2,40,79,793","5,84,00,20,096.89","1,53,669","1,25,99,430",52.32
JIOFIN,EQ,03-02-2025,241.51,239.0,239.56,232.9,234.3,233.97,236.07,"1,51,83,090","3,58,41,97,407.22","1,75,695","71,70,790",47.23
JIOFIN,EQ,04-02-2025,233.97,236.4,246.95,235.0,245.0,245.1,241.04,"2,31,38,568","5,57,73,76,654.49","1,72,753","87,31,617",37.74
JIOFIN,EQ,05-02-2025,245.1,246.65,254.34,246.6,249.4,249.82,251.97,"2,86,95,524","7,23,03,61,979.36","2,11,190","97,60,851",34.02
JIOFIN,EQ,06-02-2025,249.82,252.6,253.79,248.65,251.1,250.48,251.2,"1,62,98,230","4,09,40,53,842.91","1,24,231","63,02,541",38.67
JIOFIN,EQ,07-02-2025,250.48,248.4,252.75,246.13,249.5,249.45,249.6,"1,19,22,059","2,97,57,38,423.80","1,20,716","32,98,526",27.67
JIOFIN,EQ,10-02-2025,249.45,249.28,250.0,242.06,243.2,242.96,244.58,"1,11,75,493","2,73,33,12,340.41","1,18,450","52,92,170",47.36
JIOFIN,EQ,11-02-2025,242.96,242.0,243.18,234.75,236.5,235.94,237.58,"1,53,30,326","3,64,21,63,534.29","1,35,495","70,07,432",45.71
JIOFIN,EQ,12-02-2025,235.94,233.0,233.98,223.23,228.15,227.62,227.87,"4,51,67,995","10,29,23,95,691.06","2,97,582","2,15,70,082",47.76
JIOFIN,EQ,13-02-2025,227.62,228.18,233.05,227.0,227.9,228.06,230.11,"1,58,41,475","3,64,52,14,879.32","1,16,886","62,35,903",39.36
JIOFIN,EQ,14-02-2025,228.06,230.0,230.84,219.15,222.25,222.29,223.26,"2,21,76,523","4,95,11,91,498.41","1,98,484","99,43,648",44.84
JIOFIN,EQ,17-02-2025,222.29,222.25,224.0,217.14,223.84,222.45,221.59,"2,19,88,192","4,87,23,19,379.26","1,57,286","1,06,68,183",48.52
JIOFIN,EQ,18-02-2025,222.45,223.56,223.98,217.01,220.4,221.02,219.8,"1,91,38,944","4,20,66,92,595.97","1,52,134","94,89,432",49.58
JIOFIN,EQ,19-02-2025,221.02,221.02,229.7,219.26,228.59,228.92,226.33,"1,40,85,762","3,18,80,41,482.54","1,13,708","52,84,839",37.52
JIOFIN,EQ,20-02-2025,228.92,228.0,235.9,225.9,235.4,235.27,232.98,"1,56,81,050","3,65,33,22,035.69","1,15,043","60,30,999",38.46
JIOFIN,EQ,21-02-2025,235.27,236.0,238.55,232.64,233.2,233.67,234.99,"1,51,52,682","3,56,07,33,983.03","1,08,592","65,34,091",43.12
JIOFIN,EQ,24-02-2025,233.67,231.0,233.5,228.01,228.55,228.45,229.94,"1,47,15,002","3,38,35,90,657.83","1,24,624","60,61,268",41.19
JIOFIN,EQ,25-02-2025,228.45,229.59,231.67,225.25,225.65,226.32,228.4,"1,16,83,220","2,66,84,06,211.78","95,934","52,15,730",44.64
JIOFIN,EQ,27-02-2025,226.32,226.36,228.0,221.05,221.77,221.7,222.99,"1,62,15,296","3,61,58,27,688.77","1,47,578","92,18,587",56.85
JIOFIN,EQ,28-02-2025,221.7,219.26,219.9,207.0,208.29,207.61,210.89,"5,08,55,490","10,72,51,45,270.16","3,89,011","2,90,86,834",57.20
JIOFIN,EQ,03-03-2025,207.61,210.0,210.25,198.65,201.3,200.92,202.06,"5,13,11,993","10,36,82,74,770.73","3,23,704","2,53,63,537",49.43
JIOFIN,EQ,04-03-2025,200.92,199.99,208.04,199.02,206.25,206.38,204.4,"5,05,79,885","10,33,86,07,164.06","1,97,656","2,53,59,877",50.14
JIOFIN,EQ,05-03-2025,206.38,207.0,217.66,207.0,217.6,217.1,215.19,"3,69,54,756","7,95,23,99,358.37","2,54,653","1,49,59,714",40.48
JIOFIN,EQ,06-03-2025,217.1,222.0,222.39,218.06,219.39,219.94,220.47,"2,42,96,337","5,35,66,58,523.70","1,45,361","90,32,613",37.18
JIOFIN,EQ,07-03-2025,219.94,220.0,224.5,218.79,221.9,221.81,222.43,"2,79,97,558","6,22,76,25,802.65","1,65,176","1,26,93,897",45.34
JIOFIN,EQ,10-03-2025,221.81,222.6,224.9,215.5,215.85,216.5,220.04,"1,95,21,402","4,29,55,72,541.34","1,26,842","80,56,213",41.27
JIOFIN,EQ,11-03-2025,216.5,214.7,218.99,213.01,218.75,217.56,216.27,"2,01,18,890","4,35,11,48,839.16","1,26,568","75,77,240",37.66
JIOFIN,EQ,12-03-2025,217.56,220.0,226.5,216.72,225.91,225.53,221.75,"2,84,55,086","6,30,98,52,800.75","1,43,562","1,16,45,412",40.93
JIOFIN,EQ,13-03-2025,225.53,227.88,228.94,221.32,223.1,222.6,224.72,"2,52,19,084","5,66,71,71,866.25","1,53,269","1,14,18,741",45.28
JIOFIN,EQ,17-03-2025,222.6,223.12,223.85,218.54,219.58,219.52,220.92,"2,22,90,925","4,92,44,19,476.53","1,17,597","1,37,68,786",61.77
JIOFIN,EQ,18-03-2025,219.52,221.1,225.5,220.71,225.21,225.18,222.64,"2,80,81,319","6,25,21,10,202.77","1,17,438","1,69,96,975",60.53
JIOFIN,EQ,19-03-2025,225.18,227.27,231.25,225.64,228.1,228.84,229.21,"2,14,56,932","4,91,81,36,386.57","1,24,749","98,17,600",45.75
JIOFIN,EQ,20-03-2025,228.84,231.0,234.25,228.95,232.0,231.69,231.93,"2,44,26,400","5,66,53,16,729.82","1,34,331","1,16,45,459",47.68
JIOFIN,EQ,21-03-2025,231.69,232.0,235.94,228.05,229.58,229.12,230.95,"4,68,79,564","10,82,70,06,420.15","1,80,702","2,58,92,410",55.23
JIOFIN,EQ,24-03-2025,229.12,231.9,234.46,230.7,232.9,232.68,232.77,"2,66,07,361","6,19,32,93,660.02","1,44,442","1,46,08,248",54.90
JIOFIN,EQ,25-03-2025,232.68,234.1,234.2,226.31,226.9,227.53,229.39,"2,24,92,788","5,15,95,73,953.92","1,55,616","1,08,74,562",48.35
JIOFIN,EQ,26-03-2025,227.53,228.0,228.9,222.01,222.17,222.67,225.21,"1,93,72,538","4,36,28,70,615.58","1,30,710","1,01,26,996",52.28
JIOFIN,EQ,27-03-2025,222.67,222.17,228.0,221.33,225.2,225.78,225.44,"18,88,68,886","42,57,94,30,331.42","2,59,264","14,77,19,236",78.21
JIOFIN,EQ,28-03-2025,225.78,227.18,232.3,226.11,227.03,227.51,229.12,"3,03,56,334","6,95,50,94,152.08","1,87,935","1,35,58,093",44.66
JIOFIN,EQ,01-04-2025,227.51,227.0,231.29,225.21,230.94,230.42,228.99,"1,87,81,790","4,30,08,30,260.19","1,10,587","67,29,325",35.83
JIOFIN,EQ,02-04-2025,230.42,230.99,230.99,225.3,229.91,229.78,228.22,"1,62,03,186","3,69,78,43,657.51","99,095","68,34,403",42.18
JIOFIN,EQ,03-04-2025,229.78,227.0,231.79,226.5,230.64,230.41,229.87,"1,17,52,612","2,70,15,86,820.85","83,669","48,56,091",41.32
JIOFIN,EQ,04-04-2025,230.41,230.05,230.35,220.8,222.55,222.32,223.93,"2,08,32,533","4,66,49,61,093.13","1,46,438","1,10,14,859",52.87
JIOFIN,EQ,07-04-2025,222.32,203.1,215.0,203.1,214.85,213.52,210.67,"2,57,72,065","5,42,94,15,661.18","2,74,102","1,10,60,052",42.91
JIOFIN,EQ,08-04-2025,213.52,217.0,225.5,216.62,225.49,224.81,221.41,"2,51,31,280","5,56,43,49,832.76","1,50,831","83,23,894",33.12
JIOFIN,EQ,09-04-2025,224.81,224.0,224.0,218.25,221.1,220.92,220.49,"1,93,72,735","4,27,15,39,026.22","1,35,433","78,88,161",40.72
JIOFIN,EQ,11-04-2025,220.92,225.78,230.98,223.72,230.4,230.02,228.08,"2,46,30,876","5,61,78,89,915.48","1,43,791","1,22,31,881",49.66
JIOFIN,EQ,15-04-2025,230.02,235.9,239.49,232.6,239.05,238.57,236.01,"2,76,63,804","6,52,90,29,769.09","1,51,900","1,46,87,612",53.09
JIOFIN,EQ,16-04-2025,238.57,239.05,242.75,237.26,242.3,242.28,241.23,"2,77,20,767","6,68,71,11,659.52","1,69,243","1,24,33,769",44.85
JIOFIN,EQ,17-04-2025,242.28,242.94,248.0,238.3,246.2,246.47,243.57,"3,04,22,206","7,41,00,87,110.43","1,89,979","1,04,88,246",34.48
JIOFIN,EQ,21-04-2025,246.47,250.0,250.0,244.5,245.96,246.38,247.01,"3,17,86,610","7,85,16,77,525.15","2,28,473","1,49,96,898",47.18
JIOFIN,EQ,22-04-2025,246.38,245.5,251.34,243.7,250.6,250.56,248.08,"3,02,35,264","7,50,07,74,422.19","1,43,908","1,31,30,560",43.43
JIOFIN,EQ,23-04-2025,250.56,252.0,258.55,251.39,258.02,258.14,255.78,"3,75,68,336","9,60,91,76,120.16","1,87,743","1,73,11,019",46.08
JIOFIN,EQ,24-04-2025,258.14,258.0,259.8,256.5,258.94,258.78,258.43,"1,71,52,009","4,43,25,78,572.62","1,18,106","76,92,106",44.85
JIOFIN,EQ,25-04-2025,258.78,258.78,261.62,249.1,252.39,253.05,254.06,"3,33,48,716","8,47,24,52,549.09","2,27,469","1,31,52,718",39.44
JIOFIN,EQ,28-04-2025,253.05,252.39,259.7,252.3,258.0,257.9,256.95,"1,93,80,922","4,97,98,77,691.79","1,15,267","74,06,998",38.22
JIOFIN,EQ,29-04-2025,257.9,258.1,259.75,255.6,257.5,257.63,257.64,"1,24,94,831","3,21,91,49,375.04","91,018","49,35,837",39.50
JIOFIN,EQ,30-04-2025,257.63,256.0,263.3,255.2,259.08,260.42,260.13,"3,20,58,337","8,33,94,51,309.11","1,62,742","1,35,74,371",42.34
JIOFIN,EQ,02-05-2025,260.42,262.9,265.2,257.75,258.3,258.8,261.48,"2,00,15,942","5,23,37,83,256.55","1,25,758","69,91,440",34.93
JIOFIN,EQ,05-05-2025,258.8,259.6,262.4,259.3,260.45,260.6,260.58,"1,09,86,246","2,86,27,67,920.85","77,956","43,40,880",39.51
JIOFIN,EQ,06-05-2025,260.6,259.25,260.75,250.4,251.0,251.2,254.53,"1,85,68,703","4,72,63,15,281.90","1,20,140","81,09,221",43.67
JIOFIN,EQ,07-05-2025,251.2,245.05,256.7,245.05,256.5,256.1,253.43,"1,93,93,399","4,91,49,13,593.60","1,10,105","80,80,125",41.66
JIOFIN,EQ,08-05-2025,256.1,256.1,258.3,249.4,250.05,251.45,254.24,"1,48,49,940","3,77,54,02,948.15","99,409","72,98,918",49.15
JIOFIN,EQ,09-05-2025,251.45,244.1,250.0,242.0,249.2,248.35,246.0,"2,50,11,071","6,15,27,27,119.50","1,46,842","98,70,264",39.46
JIOFIN,EQ,12-05-2025,248.35,258.95,263.5,257.0,263.0,262.9,261.3,"1,94,37,052","5,07,88,91,515.85","1,17,986","88,26,377",45.41
JIOFIN,EQ,13-05-2025,262.9,263.2,268.95,261.5,267.7,267.4,266.47,"1,93,05,043","5,14,43,07,935.35","1,32,015","68,68,449",35.58
JIOFIN,EQ,14-05-2025,267.4,268.8,269.95,265.2,267.8,267.5,267.55,"1,32,55,755","3,54,65,22,593.35","1,00,971","57,64,031",43.48
JIOFIN,EQ,15-05-2025,267.5,268.0,274.6,265.5,274.05,273.7,270.51,"1,62,01,350","4,38,26,55,795.15","1,28,902","66,18,740",40.85
JIOFIN,EQ,16-05-2025,273.7,274.1,277.95,273.05,276.3,277.0,275.2,"1,34,49,060","3,70,11,87,921.40","83,839","60,13,285",44.71
JIOFIN,EQ,19-05-2025,277.0,277.0,279.35,275.75,276.85,277.05,277.69,"1,02,02,024","2,83,30,48,933.90","79,770","47,43,884",46.50
JIOFIN,EQ,20-05-2025,277.05,277.1,278.0,270.85,271.7,271.45,273.92,"1,28,85,413","3,52,95,68,980.55","81,117","62,13,236",48.22
JIOFIN,EQ,21-05-2025,271.45,271.5,275.5,270.35,274.55,274.35,273.32,"1,04,76,515","2,86,34,19,583.80","73,080","35,33,972",33.73
JIOFIN,EQ,22-05-2025,274.35,274.45,277.35,271.4,274.8,274.55,274.94,"1,32,07,455","3,63,12,87,427.95","99,053","63,21,393",47.86
JIOFIN,EQ,23-05-2025,274.55,274.95,283.65,274.55,281.4,281.75,280.21,"1,35,48,313","3,79,63,59,737.20","85,665","60,46,101",44.63
JIOFIN,EQ,26-05-2025,281.75,282.75,284.7,281.35,281.5,281.75,282.7,"86,53,797","2,44,64,10,444.45","62,491","36,44,512",42.11
JIOFIN,EQ,27-05-2025,281.75,280.0,292.9,279.1,292.65,291.4,287.45,"2,44,00,393","7,01,38,73,257.40","1,48,597","69,35,373",28.42
JIOFIN,EQ,28-05-2025,291.4,296.05,299.25,288.8,289.5,290.35,293.69,"3,71,69,009","10,91,60,48,099.60","1,98,439","1,50,71,764",40.55
JIOFIN,EQ,29-05-2025,290.35,291.75,292.05,285.5,288.4,287.85,288.29,"1,58,54,792","4,57,07,67,572.30","1,16,695","65,64,116",41.40
JIOFIN,EQ,30-05-2025,287.85,288.0,291.0,285.6,286.2,286.65,287.39,"1,78,81,681","5,13,90,80,642.55","82,432","1,06,88,360",59.77
JIOFIN,EQ,02-06-2025,286.65,286.95,289.2,283.4,286.7,286.45,286.56,"1,26,38,716","3,62,16,90,046.35","86,336","67,64,129",53.52
JIOFIN,EQ,03-06-2025,286.45,287.75,290.8,283.1,283.8,283.9,285.13,"92,76,084","2,64,49,05,412.85","72,119","40,00,259",43.12
JIOFIN,EQ,04-06-2025,283.9,283.9,291.7,282.5,290.6,290.35,287.75,"1,36,40,678","3,92,51,45,940.40","1,05,545","67,08,173",49.18
JIOFIN,EQ,05-06-2025,290.35,292.0,293.0,289.55,291.1,291.5,291.41,"1,18,67,068","3,45,82,06,321.00","1,19,419","65,05,644",54.82
JIOFIN,EQ,06-06-2025,291.5,292.0,296.9,290.5,294.1,294.0,294.56,"1,58,58,719","4,67,13,75,654.30","1,01,810","79,86,359",50.36
JIOFIN,EQ,09-06-2025,294.0,296.0,305.5,295.65,305.45,304.25,301.74,"2,66,08,267","8,02,87,05,937.35","1,67,628","1,08,12,136",40.63
JIOFIN,EQ,10-06-2025,304.25,305.8,306.85,302.1,302.4,302.8,304.29,"1,52,46,190","4,63,93,35,742.10","1,00,739","71,10,804",46.64
JIOFIN,EQ,11-06-2025,302.8,303.5,306.8,299.7,302.6,302.65,302.58,"1,75,51,031","5,31,06,31,485.35","1,30,511","63,48,379",36.17
JIOFIN,EQ,12-06-2025,302.65,303.85,303.85,295.0,296.15,296.0,298.91,"1,61,75,003","4,83,48,07,776.25","1,18,743","79,80,681",49.34
JIOFIN,EQ,13-06-2025,296.0,288.0,295.3,287.8,295.1,294.05,292.69,"1,69,08,691","4,94,90,00,983.30","1,33,817","73,77,589",43.63
JIOFIN,EQ,16-06-2025,294.05,293.5,294.95,287.5,294.0,294.15,292.53,"1,62,56,316","4,75,54,25,020.90","1,11,850","70,61,360",43.44
JIOFIN,EQ,17-06-2025,294.15,295.0,295.5,289.4,289.8,289.8,291.75,"88,57,573","2,58,41,56,542.90","69,960","35,93,630",40.57
JIOFIN,EQ,18-06-2025,289.8,289.0,292.65,287.35,287.75,288.15,289.52,"84,00,088","2,43,20,16,250.45","71,695","29,21,358",34.78
JIOFIN,EQ,19-06-2025,288.15,289.5,290.6,282.7,283.0,284.1,285.79,"1,39,10,925","3,97,55,97,925.20","1,17,427","48,94,601",35.19
JIOFIN,EQ,20-06-2025,284.1,283.2,295.0,283.0,293.5,294.25,291.64,"2,10,62,467","6,14,27,62,444.10","1,18,038","98,00,536",46.53
JIOFIN,EQ,23-06-2025,294.25,288.55,295.9,287.45,293.2,293.15,292.59,"1,34,08,538","3,92,32,10,235.65","96,058","46,15,945",34.43
JIOFIN,EQ,24-06-2025,293.15,298.0,304.4,297.1,301.5,300.8,301.62,"2,40,73,049","7,26,10,24,948.45","1,55,288","91,21,947",37.89
JIOFIN,EQ,25-06-2025,300.8,303.7,304.95,302.0,303.5,303.3,303.44,"1,18,54,474","3,59,71,56,267.25","92,137","45,60,890",38.47
JIOFIN,EQ,26-06-2025,303.3,304.8,312.9,304.1,312.55,312.5,310.51,"3,71,58,992","11,53,84,23,207.65","2,45,293","1,28,89,596",34.69
JIOFIN,EQ,27-06-2025,312.5,314.1,329.3,312.85,324.6,323.45,323.09,"6,06,66,211","19,60,07,48,845.05","3,48,240","1,64,83,266",27.17
JIOFIN,EQ,30-06-2025,323.45,326.9,331.9,325.2,327.4,326.75,327.72,"3,67,46,297","12,04,24,19,918.25","2,81,155","1,41,68,520",38.56
JIOFIN,EQ,01-07-2025,326.75,328.2,331.9,327.1,330.2,329.6,329.62,"2,06,83,383","6,81,77,40,212.15","1,53,207","71,25,866",34.45
JIOFIN,EQ,02-07-2025,329.6,330.2,330.95,325.05,326.55,326.7,327.0,"1,33,85,187","4,37,69,53,681.55","1,09,247","52,17,741",38.98
JIOFIN,EQ,03-07-2025,326.7,327.55,328.75,324.55,324.9,325.05,325.88,"1,14,97,044","3,74,67,14,002.55","88,984","43,07,679",37.47
JIOFIN,EQ,04-07-2025,325.05,326.0,327.6,323.35,325.0,324.95,325.1,"96,23,498","3,12,85,73,670.15","79,780","37,15,249",38.61
JIOFIN,EQ,07-07-2025,324.95,324.95,329.7,323.05,328.3,328.05,327.71,"1,31,72,854","4,31,69,34,974.95","1,34,228","46,28,263",35.13
JIOFIN,EQ,08-07-2025,328.05,329.0,330.7,324.75,328.8,328.85,327.56,"1,39,53,335","4,57,06,21,837.15","99,047","45,25,910",32.44
JIOFIN,EQ,09-07-2025,328.85,329.0,335.3,328.75,329.8,329.85,332.1,"2,45,22,736","8,14,38,88,753.30","1,68,724","83,73,481",34.15
JIOFIN,EQ,10-07-2025,329.85,330.5,333.4,329.0,331.85,331.65,331.88,"1,39,73,005","4,63,73,00,595.30","1,06,040","54,90,456",39.29
JIOFIN,EQ,11-07-2025,331.65,331.0,331.0,325.0,325.4,325.8,327.24,"1,45,54,942","4,76,28,88,765.55","1,14,401","62,73,168",43.10
JIOFIN,BL,14-07-2025,322.0,325.0,325.0,325.0,325.0,325.0,325.0,"9,61,748","31,25,68,100.00",1,-,-
JIOFIN,EQ,14-07-2025,325.8,325.0,327.7,317.65,319.3,319.1,321.47,"1,79,80,889","5,78,03,00,800.25","1,20,613","94,63,980",52.63
JIOFIN,EQ,15-07-2025,319.1,321.1,322.55,318.3,321.2,321.2,320.69,"1,27,53,151","4,08,98,68,150.05","93,352","47,83,067",37.50
JIOFIN,EQ,16-07-2025,321.2,321.0,322.7,318.65,319.2,319.55,320.03,"1,41,51,922","4,52,90,98,121.35","87,036","65,55,080",46.32
JIOFIN,EQ,17-07-2025,319.55,320.1,320.95,317.35,319.0,318.15,319.18,"1,20,37,735","3,84,22,02,600.55","87,593","55,80,194",46.36
JIOFIN,EQ,18-07-2025,318.15,320.5,323.95,313.75,316.4,316.85,317.91,"2,97,76,471","9,46,61,09,464.40","2,11,618","1,18,67,363",39.85
JIOFIN,EQ,21-07-2025,316.85,318.2,320.8,314.1,317.9,317.25,317.28,"1,69,96,843","5,39,27,24,724.75","1,21,485","76,70,606",45.13
JIOFIN,EQ,22-07-2025,317.25,318.0,318.45,309.85,311.0,310.8,312.85,"1,57,97,945","4,94,24,30,954.75","1,17,080","79,90,351",50.58
JIOFIN,EQ,23-07-2025,310.8,311.6,315.2,311.6,315.0,314.45,313.69,"97,26,960","3,05,12,80,178.20","84,024","45,25,757",46.53
JIOFIN,EQ,24-07-2025,314.45,315.0,319.4,313.45,316.5,316.45,317.23,"1,13,48,072","3,59,99,44,860.15","85,158","47,77,711",42.10
JIOFIN,EQ,25-07-2025,316.45,315.55,315.55,310.2,311.1,311.25,311.91,10957081,34176.03,99295, 4846704, 44.23
JIOFIN,EQ,28-07-2025,311.25,311.25,315.85,306.5,307.5,307.35,310.63,15732708,48869.9,119614, 7137839, 45.37
JIOFIN,EQ,29-07-2025,307.35,306.3,322.5,306.3,322.0,321.1,316.96,27086587,85854.45,166860, 10165621, 37.53
JIOFIN,EQ,30-07-2025,321.1,323.0,324.0,319.7,320.0,320.3,321.88,15393963,49549.66,114994, 5507264, 35.78
JIOFIN,EQ,31-07-2025,320.3,317.0,332.65,316.45,329.0,329.25,328.81,49292436,162078.03,299422, 17636697, 35.78
JIOFIN,EQ,01-08-2025,329.25,329.95,332.7,326.0,329.85,329.5,330.03,19635750,64803.33,144249, 7124223, 36.28
JIOFIN,EQ,04-08-2025,329.5,329.85,335.5,328.6,334.85,333.9,332.99,19850637,66100.76,143207, 7477498, 37.67
JIOFIN,EQ,05-08-2025,333.9,334.45,338.6,331.5,332.6,332.85,334.78,16052991,53741.81,125759, 5538531, 34.50
JIOFIN,EQ,06-08-2025,332.85,333.2,333.6,325.6,326.0,326.55,328.63,11615135,38171.35,96483, 4385411, 37.76
JIOFIN,EQ,07-08-2025,326.55,323.0,328.0,316.8,327.4,325.5,322.19,16461908,53038.69,139369, 5406293, 32.84
JIOFIN,EQ,08-08-2025,325.5,325.1,326.0,320.1,321.0,321.15,322.31,10312947,33239.95,95301, 4240797, 41.12
JIOFIN,EQ,11-08-2025,321.15,321.0,328.6,320.8,327.9,327.75,324.86,11342718,36847.98,106577, 4397980, 38.77
JIOFIN,EQ,12-08-2025,327.75,327.95,331.7,326.55,326.9,327.0,328.84,10094423,33194.62,95723, 3346718, 33.15
JIOFIN,EQ,13-08-2025,327.0,328.6,332.6,328.6,330.8,330.6,330.65,11363627,37574.15,96444, 4658439, 40.99
JIOFIN,EQ,14-08-2025,330.6,330.6,331.95,325.85,327.35,327.4,327.92,8079069,26493.16,67915, 3259098, 40.34
JIOFIN,EQ,18-08-2025,327.4,331.25,333.7,327.6,329.7,329.35,330.2,9341169,30844.96,81414, 4451964, 47.66
JIOFIN,EQ,19-08-2025,329.35,330.0,333.2,328.45,331.4,331.3,330.69,8842923,29242.34,68689, 4214900, 47.66
JIOFIN,EQ,20-08-2025,331.3,330.85,331.0,327.05,328.5,328.45,328.89,8822662,29017.06,69363, 3669471, 41.59
JIOFIN,EQ,21-08-2025,328.45,329.0,329.4,322.6,324.05,323.85,325.06,10947441,35586.13,109847, 4857745, 44.37
